freq 24 and up ,collocate ,有對有錯,有對有錯error type,,有對有錯error type,freq
"0,177792,個,月,0.019556129351258278,0.014616809785366058,Nf,Na",1,,,,未選緊鄰NP,44
長達 幾 [1]{個} [2]{月},1,,,,例句有斷錯或詞性錯,28
預計 未來 幾 [1]{個} [2]{月} 就 可以 開始 生產,1,,,,應搭配的詞沒在右方出現,11
針對 周錫瑋 在 七月 十八日 視察 新莊 捷運線 時 強調 要 在 一 [1]{個} [2]{月} 內,1,,,,誤抓名詞複合詞的modifier,11
在 捷運 施工 前 還 需要 幾 [1]{個} [2]{月} 進行 細部 設計,1,,,,Nf和target N中間隔了子句,6
絕不 可能 要求 樂生 在 一 [1]{個} [2]{月} 內 搬遷 完畢,1,,,,量詞出現於非DM修飾語中,3
"1,76024,個,人,0.011521363630890846,0.011289684101939201,Nf,Na,1",1,y,,,Nf和target N中間隔了連接詞,0
選擇 性別 是 公民 的 [1]{個} [2]{人} 權利,5,,例句有斷錯或詞性錯,,,
參加 又 是 [1]{個} [2]{人} 身分,5,,例句有斷錯或詞性錯,,,
她 尊重 每 [1]{個} [2]{人} 的 言論 自由,1,,,,,
每 [1]{個} [2]{人} 都 要 好好 把握 人生,1,,,,,
讓 每 [1]{個} [2]{人} 看 了 都 十分 羨慕,1,,,,,
"2,20424,場,比賽,0.014909353107213974,0.011964553967118263,Nf,Na",1,,,,,
希 丁 克 利用 空閒 反覆 看 了 俄羅斯隊 近年 來 十幾 [1]{場} 國際 [2]{比賽} 的 錄影帶,1,,,,,
這 [1]{場} [2]{比賽} 松山隊 先發 投手 周孟翰 控球 不 穩,1,,,,,
拿下 這 [1]{場} [2]{比賽} 冠軍 後,1,,,,,
他 在 中華隊 四 [1]{場} [2]{比賽} 中,1,,,,,
這 [1]{場} [2]{比賽},1,,,,,
"3,15256,件,事,0.014990705996751785,0.011965320445597172,Nf,Na",1,,,,,
但 朝野 黨團 都 應 正視 這 [1]{件} [2]{事},1,,,,,
是 一 [1]{件} 很 奇怪 的 [2]{事},1,,,,,
這 [1]{件} [2]{事} 應 尚未 定案,1,,,,,
南區 國稅局 不 清楚 整 [1]{件} [2]{事} 的 來龍去脈 及 收費 內容,1,,,,,
希望 在 這 [1]{件} [2]{事} 上,1,,,,,
"4,15211,個,國家,0.011398721486330032,0.008940180763602257,Nf,Na",1,,,,,
世界 多 [1]{個} 強權 [2]{國家} 正在 考量 可能 派往 黎巴嫩 維持 和平 部隊 應 如何 授權 與 設計,1,,,,,
台灣 多 [1]{個} 友邦 [2]{國家} 駐 聯合國 大使 也 參與 盛會,1,,,,,
好像 全 世界 只 剩 台灣 與 中國 大陸 兩 [1]{個} [2]{國家},1,,,,,
去年 亞太 地區 四十四 [1]{個} [2]{國家} 到訪 旅客 人數 中,1,,,,,
十五 [1]{個} [2]{國家} 與 三 個 國際 組織 代表 今天 在 羅馬 舉行 的 黎巴嫩 和平 會議 中 未能 達成 具體 決議,1,,,,,
"5,12865,份,報告,0.01434884313493967,0.01430074404925108,Nf,Na",1,,,,,
根據 珠海 市政府 向 市 人大 常委會 提交 審議 的 一 [1]{份} [2]{報告},1,,,,,
聯合國 貿易 暨 發展 會議 公布 的 一 [1]{份} [2]{報告} 顯示,1,,,,,
根據 國際 勞工 組織 五月 公布 的 一 [1]{份} [2]{報告} 指出,1,,,,,
國防部 對 這 [1]{份} 調查 [2]{報告} 沒有 表示 任何 意見,1,,,,,
全 國 災難 協調 委員會 在 一 [1]{份} [2]{報告} 中 表示,1,,,,,
"6,11370,名,男子,0.01633739285171032,0.010278388857841492,Nf,Na",1,,,,,
這 [1]{名} [2]{男子} 現年 五十三 歲,1,,,,,
該 [1]{名} [2]{男子} 的 兩 名 孩子 受傷,1,,,,,
一 [1]{名} 在 市區 道路 開車 的 [2]{男子},1,,,,,
這 [1]{名} [2]{男子} 則 逃到 河道 中間,1,,,,,
這 [1]{名} 台灣 [2]{男子} 姓關,1,,,,,
"7,10676,個,百分點,0.01889749988913536,0.0056666224263608456,Nf,Na",1,,,,,
由於 這 項 民調 的 誤差 為 四 [1]{個} [2]{百分點},1,,,,,
三 年 來 增加 五 點 多 [1]{個} [2]{百分點} 最 大,1,,,,,
抽樣 誤差 約 正負 百分之二 點 八九 [1]{個} [2]{百分點},1,,,,,
比 六 月份 下跌 五 [1]{個} [2]{百分點},1,,,,,
但 今年 執行 比率 卻 仍 較 上 年度 同 期 減少 一 [1]{個} [2]{百分點},1,,,,,
"8,6417,架,飛機,0.016613755375146866,0.0135864382609725,Nf,Na",1,,,,,
這 [1]{架} 外形 像 滑翔機 的 單人 座吊籃式 [2]{飛機},1,,,,,
比利時 的 一 [1]{架} 陸軍 [2]{飛機} 從 普勒斯 接送 了 一百三十六 人 抵達 布魯塞爾,1,,,,,
並 以 三 [1]{架} [2]{飛機} 將 他們 從 敘利亞 拉塔基亞 送返 莫斯科,1,,,,,
今天 已 有 一 [1]{架} [2]{飛機} 正在 返國 的 路 上,1,,,,,
這 [1]{架} [2]{飛機} 載有 數百 名 從 貝魯特 搭船 逃 至 賽普勒斯 的 澳洲人,1,,,,,
"9,4797,段,期間,0.012168417684733868,0.015638988465070724,Nf,Na",1,,,,,
這 [1]{段} [2]{期間} 也 斷斷續續 前往 探訪 陳林興 老先生,1,,,,,
由於 大法官 明文 表示 這 [1]{段} [2]{期間} 的 決議 有效,1,,,,,
這 [1]{段} [2]{期間} 以來,1,,,,,
在 這 [1]{段} [2]{期間} 將 舉辦 四 大 主題 活動,1,,,,,
因為 過去 這 [1]{段} [2]{期間} 社會 各界 的 討論,1,,,,,
"10,4413,個,城市,0.014711596071720123,0.00829073041677475,Nf,Na",1,,,,,
調查 中 名次 最 差 的 三 [1]{個} [2]{城市} 為 吉隆坡,1,,,,,
未來 兩 [1]{個} [2]{城市} 會 有 聯繫 的 辦公室,1,,,,,
去年 在 全球 主要 三十四 [1]{個} [2]{城市} 中,1,,,,,
新加坡 是 [1]{個} 坐言 起行 的 [2]{城市},1,,,,,
數以千計 的 人 今天 在 全球 多 [1]{個} [2]{城市} 聚集 示威,1,,,,,
"11,4221,元,人民幣,0.01033076923340559,0.012237808667123318,Nf,Na",1,,,,,
拖欠 銀行 和 個 人 各 類 債務 兩 千八百九十三萬 [1]{元} [2]{人民幣},1,,,,,
收報 七點九八七八 [1]{元} [2]{人民幣},1,,,,,
自動 撮合 交易 系統 美元 收報 七點九八七 [1]{元} [2]{人民幣},1,,,,,
在 一 美元 兌 七點五六 [1]{元} [2]{人民幣} 左右,1,,,,,
五 月份 的 存款 總額 只有 兩 百二十九億 [1]{元} [2]{人民幣},1,,,,,
"12,4059,本,書,0.026706760749220848,0.01308246236294508,Nf,Na",1,,,,,
這 [1]{本} [2]{書} 描述 的 是 真實 的 組織 變革,1,,,,,
郝柏村 以 這 [1]{本} [2]{書} 指導 部屬 如何 對 拉艦案 發言 與 應對,1,,,,,
其中 戴晨志 個 人 就 捐贈 近 三千 [1]{本} [2]{書},1,,,,,
柴崎幸 偶然 讀到 這 [1]{本} [2]{書} 後 深受 感動,1,,,,,
所以 他 要 把 第一 [1]{本} [2]{書} 送給 最 辛苦 的 爸媽,1,,,,,
"13,4058,家,廠商,0.01053188182413578,0.006912661250680685,Nf,Na",1,,,,,
將 有 約 兩百 [1]{家} [2]{廠商} 將 參與 這 次 的 電子展,1,,,,,
除 核准 通過 的 十四 [1]{家} [2]{廠商},1,,,,,
澳大利亞 幾 [1]{家} 主要 釀酒 [2]{廠商} 的 股價 也 持續 挫落,1,,,,,
大約 三百 [1]{家} 日本 [2]{廠商} 對於 可能 有利於 北韓 軍方 的 貨物,1,,,,,
則 除 這 四 [1]{家} [2]{廠商},1,,,,,
"14,3766,家,企業,0.011995303444564342,0.008062895387411118,Nf,Na",1,,,,,
中國 去年 進入 世界 五百 強 的 十六 [1]{家} [2]{企業},1,,,,,
兩 [1]{家} 不同 文化 的 [2]{企業} 合併 後,1,,,,,
四十六 [1]{家} 外資 地區 總部類 [2]{企業} 在 上海 設立,1,,,,,
包括 中國 航天 科技 集團 公司 等 一百零三 [1]{家} [2]{企業},1,,,,,
國內 一 [1]{家} 知名 藥商 連鎖 [2]{企業} 今天 捐出 新台幣 一百五十萬 元,1,,,,,
"15,3742,項,計畫,0.012025199830532074,0.009287775494158268,Nf,Na",1,y,,,,
國民黨 也 擬妥 了 多 [1]{項} 街頭 集會 [2]{計畫},1,,,,,
